category,integration_id,integration_name,official_status,transport_or_api,auth_pattern,who_collects_credentials,where_credentials_stored,how_openclaw_exposes_to_agent,agent_to_integration_flow,fetch_send_mode,risk_level,secret_scope,rotation_difficulty,blast_radius,recommended_hardening,risk_profile,source_doc
model_provider,github-copilot,GitHub Copilot,built-in,LLM provider API,token,OpenClaw onboard / models auth / env-config,API keys in ~/.openclaw/openclaw.json (+ ~/.openclaw/.env); OAuth/session tokens in ~/.openclaw/agents/<agentId>/agent/auth-profiles.json,Agent selects model refs; runtime resolves provider creds internally.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests generation; runtime signs upstream calls with stored creds.,medium-high,Service/account API scope,Medium,Medium-High,"Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.","Level=medium-high; Scope=Service/account API scope; Rotation=Medium; BlastRadius=Medium-High; Hardening=Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.",docs.openclaw.ai/concepts/model-providers + provider pages
model_provider,google-antigravity,Google Antigravity,built-in + bundled auth plugin,LLM provider API,OAuth login,OpenClaw onboard / models auth / env-config,API keys in ~/.openclaw/openclaw.json (+ ~/.openclaw/.env); OAuth/session tokens in ~/.openclaw/agents/<agentId>/agent/auth-profiles.json,Agent selects model refs; runtime resolves provider creds internally.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests generation; runtime signs upstream calls with stored creds.,high,User delegated scopes / refresh tokens,Medium-High,High,"Minimize OAuth scopes, enforce re-consent/revocation playbooks, separate auth profiles per agent.","Level=high; Scope=User delegated scopes / refresh tokens; Rotation=Medium-High; BlastRadius=High; Hardening=Minimize OAuth scopes, enforce re-consent/revocation playbooks, separate auth profiles per agent.",docs.openclaw.ai/concepts/model-providers + provider pages
model_provider,google,Google Gemini,built-in,LLM provider API,API key,OpenClaw onboard / models auth / env-config,API keys in ~/.openclaw/openclaw.json (+ ~/.openclaw/.env); OAuth/session tokens in ~/.openclaw/agents/<agentId>/agent/auth-profiles.json,Agent selects model refs; runtime resolves provider creds internally.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests generation; runtime signs upstream calls with stored creds.,medium-high,Service/account API scope,Medium,Medium-High,"Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.","Level=medium-high; Scope=Service/account API scope; Rotation=Medium; BlastRadius=Medium-High; Hardening=Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.",docs.openclaw.ai/concepts/model-providers + provider pages
model_provider,google-gemini-cli,Google Gemini CLI,built-in + bundled auth plugin,LLM provider API,OAuth login,OpenClaw onboard / models auth / env-config,API keys in ~/.openclaw/openclaw.json (+ ~/.openclaw/.env); OAuth/session tokens in ~/.openclaw/agents/<agentId>/agent/auth-profiles.json,Agent selects model refs; runtime resolves provider creds internally.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests generation; runtime signs upstream calls with stored creds.,high,User delegated scopes / refresh tokens,Medium-High,High,"Minimize OAuth scopes, enforce re-consent/revocation playbooks, separate auth profiles per agent.","Level=high; Scope=User delegated scopes / refresh tokens; Rotation=Medium-High; BlastRadius=High; Hardening=Minimize OAuth scopes, enforce re-consent/revocation playbooks, separate auth profiles per agent.",docs.openclaw.ai/concepts/model-providers + provider pages
model_provider,google-vertex,Google Vertex,built-in,LLM provider API,ADC / gcloud auth,OpenClaw onboard / models auth / env-config,API keys in ~/.openclaw/openclaw.json (+ ~/.openclaw/.env); OAuth/session tokens in ~/.openclaw/agents/<agentId>/agent/auth-profiles.json,Agent selects model refs; runtime resolves provider creds internally.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests generation; runtime signs upstream calls with stored creds.,medium,Provider/channel scoped access,Medium,Medium,"Use least-privilege credentials, isolate per integration, rotate every 60–90 days, enable audit logs, and restrict host/network access.","Level=medium; Scope=Provider/channel scoped access; Rotation=Medium; BlastRadius=Medium; Hardening=Use least-privilege credentials, isolate per integration, rotate every 60–90 days, enable audit logs, and restrict host/network access.",docs.openclaw.ai/concepts/model-providers + provider pages
model_provider,groq,Groq,built-in,LLM provider API,API key,OpenClaw onboard / models auth / env-config,API keys in ~/.openclaw/openclaw.json (+ ~/.openclaw/.env); OAuth/session tokens in ~/.openclaw/agents/<agentId>/agent/auth-profiles.json,Agent selects model refs; runtime resolves provider creds internally.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests generation; runtime signs upstream calls with stored creds.,medium-high,Service/account API scope,Medium,Medium-High,"Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.","Level=medium-high; Scope=Service/account API scope; Rotation=Medium; BlastRadius=Medium-High; Hardening=Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.",docs.openclaw.ai/concepts/model-providers + provider pages
model_provider,minimax-cloud,MiniMax,provider docs page,LLM provider API,provider auth,OpenClaw onboard / models auth / env-config,API keys in ~/.openclaw/openclaw.json (+ ~/.openclaw/.env); OAuth/session tokens in ~/.openclaw/agents/<agentId>/agent/auth-profiles.json,Agent selects model refs; runtime resolves provider creds internally.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests generation; runtime signs upstream calls with stored creds.,medium,Provider/channel scoped access,Medium,Medium,"Use least-privilege credentials, isolate per integration, rotate every 60–90 days, enable audit logs, and restrict host/network access.","Level=medium; Scope=Provider/channel scoped access; Rotation=Medium; BlastRadius=Medium; Hardening=Use least-privilege credentials, isolate per integration, rotate every 60–90 days, enable audit logs, and restrict host/network access.",docs.openclaw.ai/concepts/model-providers + provider pages
model_provider,mistral,Mistral,built-in,LLM provider API,API key,OpenClaw onboard / models auth / env-config,API keys in ~/.openclaw/openclaw.json (+ ~/.openclaw/.env); OAuth/session tokens in ~/.openclaw/agents/<agentId>/agent/auth-profiles.json,Agent selects model refs; runtime resolves provider creds internally.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests generation; runtime signs upstream calls with stored creds.,medium-high,Service/account API scope,Medium,Medium-High,"Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.","Level=medium-high; Scope=Service/account API scope; Rotation=Medium; BlastRadius=Medium-High; Hardening=Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.",docs.openclaw.ai/concepts/model-providers + provider pages
model_provider,ollama,Ollama,built-in,LLM provider API,no key (local server),OpenClaw onboard / models auth / env-config,API keys in ~/.openclaw/openclaw.json (+ ~/.openclaw/.env); OAuth/session tokens in ~/.openclaw/agents/<agentId>/agent/auth-profiles.json,Agent selects model refs; runtime resolves provider creds internally.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests generation; runtime signs upstream calls with stored creds.,low,No cloud secret (local runtime),Low,Low,"Bind local runtime to localhost, patch regularly, and restrict local access.","Level=low; Scope=No cloud secret (local runtime); Rotation=Low; BlastRadius=Low; Hardening=Bind local runtime to localhost, patch regularly, and restrict local access.",docs.openclaw.ai/concepts/model-providers + provider pages
model_provider,openai,OpenAI,built-in,LLM provider API,API key,OpenClaw onboard / models auth / env-config,API keys in ~/.openclaw/openclaw.json (+ ~/.openclaw/.env); OAuth/session tokens in ~/.openclaw/agents/<agentId>/agent/auth-profiles.json,Agent selects model refs; runtime resolves provider creds internally.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests generation; runtime signs upstream calls with stored creds.,medium-high,Service/account API scope,Medium,Medium-High,"Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.","Level=medium-high; Scope=Service/account API scope; Rotation=Medium; BlastRadius=Medium-High; Hardening=Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.",docs.openclaw.ai/concepts/model-providers + provider pages
model_provider,openai-codex,OpenAI Code (Codex),built-in,LLM provider API,OAuth login,OpenClaw onboard / models auth / env-config,API keys in ~/.openclaw/openclaw.json (+ ~/.openclaw/.env); OAuth/session tokens in ~/.openclaw/agents/<agentId>/agent/auth-profiles.json,Agent selects model refs; runtime resolves provider creds internally.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests generation; runtime signs upstream calls with stored creds.,high,User delegated scopes / refresh tokens,Medium-High,High,"Minimize OAuth scopes, enforce re-consent/revocation playbooks, separate auth profiles per agent.","Level=high; Scope=User delegated scopes / refresh tokens; Rotation=Medium-High; BlastRadius=High; Hardening=Minimize OAuth scopes, enforce re-consent/revocation playbooks, separate auth profiles per agent.",docs.openclaw.ai/concepts/model-providers + provider pages
model_provider,opencode,OpenCode Zen,built-in,LLM provider API,API key,OpenClaw onboard / models auth / env-config,API keys in ~/.openclaw/openclaw.json (+ ~/.openclaw/.env); OAuth/session tokens in ~/.openclaw/agents/<agentId>/agent/auth-profiles.json,Agent selects model refs; runtime resolves provider creds internally.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests generation; runtime signs upstream calls with stored creds.,medium-high,Service/account API scope,Medium,Medium-High,"Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.","Level=medium-high; Scope=Service/account API scope; Rotation=Medium; BlastRadius=Medium-High; Hardening=Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.",docs.openclaw.ai/concepts/model-providers + provider pages
